ip,port,username,password,protocols,ping,detected,organisation,country,isocode,latitude,longitude,asn,connections,uptime,dateAdded,lastTested,lastSuccess,detection,provider
1.9.164.242,35471,,,"[ProtocolDataType(type=socks4, port=35471, tls=true, autoRead=[true])]",,true,"Tmnet, Telekom Malaysia Bhd",Malaysia,MY,3.0439000129699707,101.5792007446289,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1221, connections=ConnectionAttempts(success=1457, fail=1346), uptime=51.0%, visibleIp=null), ora_UK=EndpointServerData(ping=1004, connections=ConnectionAttempts(success=221, fail=2557), uptime=7.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1179, connections=ConnectionAttempts(success=1633, fail=1132), uptime=59.0%, visibleIp=1.9.164.242), ms_HK=EndpointServerData(ping=1807, connections=ConnectionAttempts(success=1437, fail=1342), uptime=51.0%, visibleIp=null))",,"2023-04-15 02:09:16.0","2023-04-15 02:48:25.0",,,
1.10.141.115,8080,,,"[ProtocolDataType(type=http, port=8080, tls=false, autoRead=[true]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.766300201416016,100.65029907226562,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=3523, connections=ConnectionAttempts(success=376, fail=2240), uptime=14.0%, visibleIp=null), ora_UK=EndpointServerData(ping=1834, connections=ConnectionAttempts(success=51, fail=2583), uptime=1.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2870, connections=ConnectionAttempts(success=380, fail=2235), uptime=14.0%, visibleIp=null), ms_HK=EndpointServerData(ping=2115, connections=ConnectionAttempts(success=386, fail=2233), uptime=14.0%, visibleIp=null))",,"2023-04-15 01:55:06.0","2023-04-15 02:45:11.0",,,
1.12.55.136,2080,,,"[ProtocolDataType(type=socks5, port=2080, tls=false, autoRead=null)]",,true,"Beijing Founder Broadband Network Technology Co., Ltd",China,CN,34.77320098876953,113.72200012207031,AS45090,"PerformanceConnectData(aws_NA=EndpointServerData(ping=6141, connections=ConnectionAttempts(success=174, fail=1020), uptime=14.0%, visibleIp=1.12.55.136), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=1211), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=1595, connections=ConnectionAttempts(success=182, fail=1023), uptime=15.0%, visibleIp=1.12.55.136), ms_HK=EndpointServerData(ping=1124, connections=ConnectionAttempts(success=181, fail=1029), uptime=14.0%, visibleIp=1.12.55.136))",,"2023-04-15 02:34:10.0","2023-04-15 02:49:06.0",,,
1.20.95.95,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,18.790300369262695,99.00289916992188,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=891, connections=ConnectionAttempts(success=717, fail=2477), uptime=22.0%, visibleIp=null), ora_UK=EndpointServerData(ping=747, connections=ConnectionAttempts(success=196, fail=2994), uptime=6.0%, visibleIp=null), ora_JP=EndpointServerData(ping=549, connections=ConnectionAttempts(success=872, fail=2346), uptime=27.0%, visibleIp=1.20.95.95), ms_HK=EndpointServerData(ping=541, connections=ConnectionAttempts(success=722, fail=2514), uptime=22.0%, visibleIp=1.20.95.95))",,"2023-04-15 02:48:36.0","2023-04-15 02:48:36.0",,,
1.20.137.82,32241,,,"[ProtocolDataType(type=socks4, port=32241, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,13.774900436401367,100.51969909667969,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=885, connections=ConnectionAttempts(success=452, fail=2756), uptime=14.0%, visibleIp=null), ora_UK=EndpointServerData(ping=858, connections=ConnectionAttempts(success=156, fail=3071), uptime=4.0%, visibleIp=null), ora_JP=EndpointServerData(ping=533, connections=ConnectionAttempts(success=560, fail=2664), uptime=17.0%, visibleIp=1.20.137.82), ms_HK=EndpointServerData(ping=558, connections=ConnectionAttempts(success=471, fail=2726), uptime=14.0%, visibleIp=null))",,"2023-04-15 02:50:01.0","2023-04-15 02:50:01.0",,,
1.20.207.99,8080,,,"[ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,false,"TOT Mobile Co LTD",Thailand,TH,13.160400390625,101.1082992553711,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1713, connections=ConnectionAttempts(success=20, fail=506), uptime=3.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=536), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=1366, connections=ConnectionAttempts(success=33, fail=493), uptime=6.0%, visibleIp=1.20.207.99), ms_HK=EndpointServerData(ping=1710, connections=ConnectionAttempts(success=28, fail=516), uptime=5.0%, visibleIp=null))",,"2023-04-15 02:33:22.0","2023-04-15 02:46:37.0",,,
1.20.225.123,8080,,,"[ProtocolDataType(type=http, port=8080, tls=false, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[true])]",,true,"TOT Mobile Co LTD",Thailand,TH,7.916600227355957,98.34940338134766,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2494, connections=ConnectionAttempts(success=338, fail=2259), uptime=13.0%, visibleIp=null), ora_UK=EndpointServerData(ping=2916, connections=ConnectionAttempts(success=57, fail=2568), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1090, connections=ConnectionAttempts(success=314, fail=2288), uptime=12.0%, visibleIp=null), ms_HK=EndpointServerData(ping=3272, connections=ConnectionAttempts(success=280, fail=2316), uptime=10.0%, visibleIp=null))",,"2023-04-15 02:12:13.0","2023-04-15 02:49:41.0",,,
1.20.227.66,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,6.249000072479248,102.03119659423828,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=880, connections=ConnectionAttempts(success=429, fail=2805), uptime=13.0%, visibleIp=1.20.227.66), ora_UK=EndpointServerData(ping=968, connections=ConnectionAttempts(success=118, fail=3084), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=632, connections=ConnectionAttempts(success=524, fail=2690), uptime=16.0%, visibleIp=null), ms_HK=EndpointServerData(ping=486, connections=ConnectionAttempts(success=428, fail=2781), uptime=13.0%, visibleIp=null))",,"2023-04-15 02:42:21.0","2023-04-15 02:42:21.0",,,
1.20.235.153,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,false,"TOT Mobile Co LTD",Thailand,TH,7.949999809265137,98.35639953613281,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=937, connections=ConnectionAttempts(success=367, fail=2673), uptime=12.0%, visibleIp=1.20.235.153), ora_UK=EndpointServerData(ping=728, connections=ConnectionAttempts(success=80, fail=2933), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=535, connections=ConnectionAttempts(success=379, fail=2643), uptime=12.0%, visibleIp=null), ms_HK=EndpointServerData(ping=450, connections=ConnectionAttempts(success=351, fail=2687), uptime=11.0%, visibleIp=1.20.235.153))",,"2023-04-15 02:30:39.0","2023-04-15 02:47:11.0",,,
1.85.52.250,9797,,,"[ProtocolDataType(type=http, port=9797, tls=false, autoRead=[true]), ProtocolDataType(type=https, port=9797, tls=false, autoRead=[true])]",,true,"Chinanet SN",China,CN,34.26350021362305,108.92459869384766,AS4134,"PerformanceConnectData(aws_NA=EndpointServerData(ping=786, connections=ConnectionAttempts(success=1813, fail=795), uptime=69.0%, visibleIp=1.85.52.250), ora_UK=EndpointServerData(ping=738, connections=ConnectionAttempts(success=274, fail=2330), uptime=10.0%, visibleIp=null), ora_JP=EndpointServerData(ping=4266, connections=ConnectionAttempts(success=1283, fail=1319), uptime=49.0%, visibleIp=1.85.52.250), ms_HK=EndpointServerData(ping=701, connections=ConnectionAttempts(success=1788, fail=810), uptime=68.0%, visibleIp=1.85.52.250))",,"2023-04-15 02:40:14.0","2023-04-15 02:40:14.0",,,
1.120.134.30,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=false, autoRead=null)]",,false,"Telstra Corporation Limited",Australia,AU,-42.86750030517578,147.35870361328125,AS1221,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1191, connections=ConnectionAttempts(success=77, fail=2365), uptime=3.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=2424), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=1107, connections=ConnectionAttempts(success=93, fail=2363), uptime=3.0%, visibleIp=null), ms_HK=EndpointServerData(ping=931, connections=ConnectionAttempts(success=87, fail=2345), uptime=3.0%, visibleIp=1.120.134.30))",,"2023-04-15 02:31:08.0","2023-04-15 02:49:23.0",,,
1.179.144.41,8080,,,"[ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.050800323486328,100.16290283203125,AS131293,"PerformanceConnectData(aws_NA=EndpointServerData(ping=3576, connections=ConnectionAttempts(success=503, fail=3491), uptime=12.0%, visibleIp=null), ora_UK=EndpointServerData(ping=4877, connections=ConnectionAttempts(success=127, fail=3863), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2152, connections=ConnectionAttempts(success=467, fail=3503), uptime=11.0%, visibleIp=1.179.144.41), ms_HK=EndpointServerData(ping=1307, connections=ConnectionAttempts(success=493, fail=3478), uptime=12.0%, visibleIp=null))",,"2023-04-15 02:07:34.0","2023-04-15 02:46:12.0",,,
1.179.148.9,36476,,,"[ProtocolDataType(type=socks4, port=36476, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=55636, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=55636, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.050800323486328,100.16290283203125,AS131293,"PerformanceConnectData(aws_NA=EndpointServerData(ping=952, connections=ConnectionAttempts(success=769, fail=3994), uptime=16.0%, visibleIp=1.179.148.9), ora_UK=EndpointServerData(ping=817, connections=ConnectionAttempts(success=203, fail=4549), uptime=4.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1306, connections=ConnectionAttempts(success=897, fail=3871), uptime=18.0%, visibleIp=null), ms_HK=EndpointServerData(ping=547, connections=ConnectionAttempts(success=777, fail=3977), uptime=16.0%, visibleIp=null))",,"2023-04-15 02:42:49.0","2023-04-15 02:42:49.0",,,
1.179.151.165,31948,,,"[ProtocolDataType(type=socks4, port=31948, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.050800323486328,100.16290283203125,AS131293,"PerformanceConnectData(aws_NA=EndpointServerData(ping=939, connections=ConnectionAttempts(success=411, fail=2809), uptime=12.0%, visibleIp=null), ora_UK=EndpointServerData(ping=799, connections=ConnectionAttempts(success=106, fail=3134), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=612, connections=ConnectionAttempts(success=463, fail=2755), uptime=14.0%, visibleIp=null), ms_HK=EndpointServerData(ping=521, connections=ConnectionAttempts(success=404, fail=2833), uptime=12.0%, visibleIp=null))",,"2023-04-15 02:08:26.0","2023-04-15 02:41:59.0",,,
1.180.0.162,7302,,,"[ProtocolDataType(type=socks5, port=7302, tls=true, autoRead=[false])]",,true,"Chinanet NM",China,CN,42.28379821777344,118.95330047607422,AS4134,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2505, connections=ConnectionAttempts(success=515, fail=2699), uptime=16.0%, visibleIp=null), ora_UK=EndpointServerData(ping=1197, connections=ConnectionAttempts(success=155, fail=3045), uptime=4.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1805, connections=ConnectionAttempts(success=489, fail=2730), uptime=15.0%, visibleIp=null), ms_HK=EndpointServerData(ping=949, connections=ConnectionAttempts(success=677, fail=2543), uptime=21.0%, visibleIp=null))",,"2023-04-15 02:33:41.0","2023-04-15 02:50:00.0",,,
1.180.49.222,7302,,,"[ProtocolDataType(type=socks5, port=7302, tls=true, autoRead=[false])]",,true,"Chinanet NM",China,CN,42.28379821777344,118.95330047607422,AS4134,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1153, connections=ConnectionAttempts(success=419, fail=2805), uptime=12.0%, visibleIp=null), ora_UK=EndpointServerData(ping=5338, connections=ConnectionAttempts(success=106, fail=3102), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1322, connections=ConnectionAttempts(success=420, fail=2806), uptime=13.0%, visibleIp=null), ms_HK=EndpointServerData(ping=2057, connections=ConnectionAttempts(success=586, fail=2630), uptime=18.0%, visibleIp=1.180.49.222))",,"2023-04-15 02:07:25.0","2023-04-15 02:35:55.0",,,
2.58.217.1,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[true]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"FIBERKAM Technologie Optotelekomunikacyjne Kamila Oczkowska",Poland,PL,50.30229949951172,16.647499084472656,AS208427,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2418, connections=ConnectionAttempts(success=3, fail=2568), uptime=0.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=2562), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=5426, connections=ConnectionAttempts(success=1292, fail=1293), uptime=49.0%, visibleIp=null), ms_HK=EndpointServerData(ping=1712, connections=ConnectionAttempts(success=3, fail=2566), uptime=0.0%, visibleIp=null))",,"2023-04-15 02:16:49.0","2023-04-15 02:49:05.0",,,
2.138.28.204,3128,,,"[ProtocolDataType(type=https, port=3128, tls=true, autoRead=[true])]",,false,"TELEFONICA DE ESPANA S.A.U.",Spain,ES,40.41630172729492,-3.6933999061584473,AS3352,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2510, connections=ConnectionAttempts(success=234, fail=1202), uptime=16.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=1444), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=2415, connections=ConnectionAttempts(success=227, fail=1207), uptime=15.0%, visibleIp=2.138.28.204), ms_HK=EndpointServerData(ping=2380, connections=ConnectionAttempts(success=213, fail=1243), uptime=14.0%, visibleIp=null))",,"2023-04-15 02:38:02.0","2023-04-15 02:49:34.0",,,
3.20.236.208,49205,,,"[ProtocolDataType(type=https, port=49205, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=49205, tls=true, autoRead=[false])]",,true,"Amazon Technologies Inc","United States",US,39.962501525878906,-83.006103515625,AS16509,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1661, connections=ConnectionAttempts(success=2178, fail=1835), uptime=54.0%, visibleIp=null), ora_UK=EndpointServerData(ping=1860, connections=ConnectionAttempts(success=1014, fail=2993), uptime=25.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2652, connections=ConnectionAttempts(success=2103, fail=1901), uptime=52.0%, visibleIp=null), ms_HK=EndpointServerData(ping=2305, connections=ConnectionAttempts(success=2100, fail=1900), uptime=52.0%, visibleIp=3.20.236.208))",,"2023-04-15 02:42:03.0","2023-04-15 02:42:03.0",,,
3.89.73.90,8118,,,"[ProtocolDataType(type=http, port=8118, tls=false, autoRead=null)]",,true,"Amazon Data Services NoVa","United States",US,39.04690170288086,-77.49030303955078,AS14618,"PerformanceConnectData(aws_NA=EndpointServerData(ping=856, connections=ConnectionAttempts(success=89, fail=679), uptime=11.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=783), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=2445, connections=ConnectionAttempts(success=72, fail=698), uptime=9.0%, visibleIp=144.172.73.29), ms_HK=EndpointServerData(ping=1080, connections=ConnectionAttempts(success=56, fail=719), uptime=7.0%, visibleIp=null))",,"2023-04-15 02:37:58.0","2023-04-15 02:47:15.0",,,
3.94.253.49,8118,,,"[ProtocolDataType(type=https, port=8118, tls=false, autoRead=null)]",,true,"Amazon Data Services NoVa","United States",US,39.04690170288086,-77.49030303955078,AS14618,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2089, connections=ConnectionAttempts(success=61, fail=1008), uptime=5.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=1045), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=3478, connections=ConnectionAttempts(success=83, fail=986), uptime=7.0%, visibleIp=null), ms_HK=EndpointServerData(ping=1239, connections=ConnectionAttempts(success=68, fail=1000), uptime=6.0%, visibleIp=null))",,"2023-04-15 02:08:32.0","2023-04-15 02:45:28.0",,,
3.141.13.98,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,"Amazon Technologies Inc","United States",US,39.962501525878906,-83.006103515625,AS16509,"PerformanceConnectData(aws_NA=EndpointServerData(ping=191, connections=ConnectionAttempts(success=1636, fail=1599), uptime=50.0%, visibleIp=null), ora_UK=EndpointServerData(ping=365, connections=ConnectionAttempts(success=664, fail=2568), uptime=20.0%, visibleIp=null), ora_JP=EndpointServerData(ping=520, connections=ConnectionAttempts(success=1953, fail=1288), uptime=60.0%, visibleIp=null), ms_HK=EndpointServerData(ping=619, connections=ConnectionAttempts(success=1628, fail=1603), uptime=50.0%, visibleIp=3.141.13.98))",,"2023-04-15 02:46:24.0","2023-04-15 02:46:25.0",,,
3.215.177.148,49205,,,"[ProtocolDataType(type=https, port=49205, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=49205, tls=true, autoRead=[false])]",,true,"Amazon Data Services NoVa","United States",US,39.04690170288086,-77.49030303955078,AS14618,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2666, connections=ConnectionAttempts(success=2234, fail=1784), uptime=55.0%, visibleIp=3.215.177.148), ora_UK=EndpointServerData(ping=1239, connections=ConnectionAttempts(success=871, fail=3148), uptime=21.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1588, connections=ConnectionAttempts(success=2247, fail=1766), uptime=55.0%, visibleIp=null), ms_HK=EndpointServerData(ping=2129, connections=ConnectionAttempts(success=2223, fail=1795), uptime=55.0%, visibleIp=null))",,"2023-04-15 02:14:51.0","2023-04-15 02:49:54.0",,,
4.16.68.158,443,,,"[ProtocolDataType(type=http, port=443, tls=true, autoRead=[true]), ProtocolDataType(type=https, port=443, tls=true, autoRead=[false])]",,true,"Level 3","United States",US,37.36309814453125,-77.10659790039062,AS3356,"PerformanceConnectData(aws_NA=EndpointServerData(ping=4593, connections=ConnectionAttempts(success=1280, fail=1349), uptime=48.0%, visibleIp=4.16.68.158), ora_UK=EndpointServerData(ping=572, connections=ConnectionAttempts(success=325, fail=2305), uptime=12.0%, visibleIp=null), ora_JP=EndpointServerData(ping=7006, connections=ConnectionAttempts(success=1267, fail=1362), uptime=48.0%, visibleIp=null), ms_HK=EndpointServerData(ping=7175, connections=ConnectionAttempts(success=1074, fail=1558), uptime=40.0%, visibleIp=4.16.68.158))",,"2023-04-15 02:39:28.0","2023-04-15 02:39:28.0",,,
